TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;4,65;0,93;0,07;0,34;8,81;74,34;53.310.276,50;4,34;0,52;5,59;4.212.250.617,75
BRBI11;14,50;9,07;8,92;1,85;0,14;100,00;8,88;61,44;61,72;12,88;-48,80;-1,46;5,48;2,06;-18,35;1,07;20,74;1,53;-0,20;0,07;0,93;0,02;-16,03;27,88;3.910.827,37;7,87;1,63;0,40;1.522.437.708,00
BRIT3;4,24;2,04;12,10;1,26;0,59;45,24;18,58;12,48;8,13;11,67;3,52;0,55;1,51;10,73;-0,74;1,36;10,40;4,86;8,41;0,47;0,53;0,39;41,71;44,43;2.218.034,23;3,40;0,35;0,11;1.904.162.443,84
CAMB3;11,15;1,32;6,55;1,87;1,29;48,26;21,89;15,87;4,75;4,47;-0,28;-0,11;1,04;4,76;-2,52;2,27;28,58;19,76;34,86;0,69;0,31;1,24;13,16;34,14;363.010,12;5,98;1,71;1,59;471.367.142,00
CAMB4;6,25;0,43;3,66;1,05;0,72;48,26;21,89;15,87;2,65;4,47;-0,28;-0,11;0,58;2,66;-1,41;2,27;28,58;19,76;34,86;0,69;0,31;1,24;13,16;34,14;;5,98;1,71;0,89;471.367.142,00
CSUD3;20,18;5,29;9,26;1,91;1,27;40,44;23,08;17,23;6,92;6,96;0,05;0,01;1,60;21,63;-1,78;1,26;20,67;13,75;17,14;0,67;0,33;0,80;4,78;23,03;767.742,69;10,70;2,21;0,51;843.524.000,00
DEXP3;10,02;4,98;6,72;1,46;0,78;21,93;16,85;9,74;3,89;3,39;-0,50;-0,19;0,65;1,63;-2,29;3,57;21,70;11,57;18,01;0,53;0,37;1,19;34,10;15,49;818.746,82;7,03;1,53;0,60;1.095.465.746,91
DEXP4;10,05;5,29;6,69;1,45;0,77;21,93;16,85;9,74;3,87;3,39;-0,50;-0,19;0,65;1,62;-2,28;3,57;21,70;11,57;18,01;0,53;0,37;1,19;34,10;15,49;53.031,00;7,03;1,53;0,60;1.095.465.746,91
EEEL3;294,77;;4,70;1,41;0,48;61,19;54,12;32,40;2,81;4,62;1,80;0,90;1,52;3,71;-0,61;2,49;30,08;10,23;19,55;0,34;0,66;0,32;12,36;28,25;;208,50;62,71;-0,15;2.840.511.499,76
EEEL4;410,00;;6,54;1,97;0,67;61,19;54,12;32,40;3,91;4,62;1,80;0,90;2,12;5,15;-0,85;2,49;30,08;10,23;19,55;0,34;0,66;0,32;12,36;28,25;;208,50;62,71;-0,21;2.840.511.499,76
EUCA3;16,26;3,63;3,78;0,61;0,36;33,23;14,43;15,10;3,95;5,50;1,56;0,24;0,57;2,23;-0,56;1,83;16,18;9,58;9,67;0,59;0,41;0,63;16,23;68,94;7.782,39;26,60;4,30;0,06;1.499.239.331,40
EUCA4;16,15;4,04;3,74;0,61;0,36;33,23;14,43;15,10;3,91;5,50;1,56;0,24;0,56;2,21;-0,56;1,83;16,18;9,58;9,67;0,59;0,41;0,63;16,23;68,94;866.759,11;26,60;4,30;0,06;1.499.239.331,40
JHSF3;3,99;9,30;5,35;0,56;0,23;59,25;63,21;33,10;2,80;5,48;2,67;0,53;1,77;1,32;-0,33;2,33;10,44;4,32;8,10;0,41;0,55;0,13;26,82;23,21;18.615.329,91;7,30;0,76;-0,77;2.710.520.878,59
JSLG3;10,00;3,20;7,92;1,67;0,20;18,17;16,45;4,44;2,14;6,43;4,29;3,36;0,35;0,83;-0,34;2,42;21,11;2,55;11,57;0,12;0,88;0,57;-1,27;22,26;3.958.471,14;5,93;1,25;0,09;2.864.310.780,00
LJQQ3;4,09;;8,44;1,30;0,25;34,76;7,07;3,96;4,72;5,72;1,00;0,28;0,33;0,97;-0,68;1,67;15,46;2,93;14,81;0,19;0,81;0,74;15,23;37,63;12.803.060,35;3,18;0,49;-0,02;797.847.387,99
MTSA3;78,55;1,40;9,75;1,55;1,25;24,25;11,31;13,83;11,92;6,96;-2,23;-0,29;1,35;2,07;-5,59;4,52;15,85;12,82;8,68;0,81;0,19;0,93;16,17;34,09;15.680,00;50,82;8,06;-0,39;529.224.307,50
MTSA4;43,33;2,75;5,46;0,87;0,70;24,25;11,31;13,83;6,68;6,96;-2,23;-0,29;0,76;1,16;-3,13;4,52;15,85;12,82;8,68;0,81;0,19;0,93;16,17;34,09;468.039,26;50,82;8,06;-0,22;529.224.307,50
NAFG4;19,02;;3,49;0,82;0,34;41,15;16,49;9,34;1,97;5,06;1,17;0,48;0,33;0,94;-0,85;2,52;23,42;9,77;15,89;0,42;0,58;1,05;7,87;35,19;;23,30;5,46;-0,34;508.315.292,42
RANI3;8,90;8,33;6,24;1,66;0,61;41,24;31,72;21,71;4,27;6,32;2,06;0,80;1,35;2,56;-0,91;3,75;26,66;9,84;13,63;0,37;0,63;0,45;11,31;157,54;6.275.865,49;5,34;1,42;-2,75;2.134.486.279,10
RANI4;5,50;;3,87;1,03;0,38;41,24;31,72;21,71;2,65;6,32;2,06;0,80;0,84;1,59;-0,57;3,75;26,66;9,84;13,63;0,37;0,63;0,45;11,31;157,54;;5,34;1,42;-1,71;2.134.486.279,10
RAPT3;9,85;5,74;9,77;1,16;0,25;25,51;10,91;3,17;2,84;5,71;2,58;1,05;0,31;0,88;-0,60;1,89;11,87;2,52;8,64;0,21;0,70;0,79;20,63;17,61;474.912,38;8,73;1,04;-0,37;3.643.997.961,33
RAPT4;11,73;4,96;11,32;1,34;0,29;25,51;10,91;3,17;3,29;5,71;2,58;1,05;0,36;1,03;-0,70;1,89;11,87;2,52;8,64;0,21;0,70;0,79;20,63;17,61;25.411.552,34;8,73;1,04;-0,43;3.643.997.961,33
SCAR3;22,10;;4,66;0,77;0,38;48,51;38,39;21,50;2,61;4,92;2,31;0,68;1,00;2,58;-0,51;2,38;16,49;8,14;14,04;0,49;0,50;0,38;30,55;77,96;256.055,17;29,36;4,84;-0,01;1.275.994.749,90
SOMA3;6,24;1,40;3,12;0,85;0,51;56,80;-46,46;29,33;-1,97;-2,42;-0,45;0,19;0,92;2,12;-0,88;2,36;27,15;16,44;-46,41;0,61;0,39;0,56;37,72;80,87;49.673.650,97;7,40;2,01;0,01;4.896.823.607,52
TECN3;6,12;2,51;6,81;1,01;0,63;55,23;17,94;17,00;6,46;6,10;-0,36;-0,06;1,16;1,22;-1,77;4,94;14,89;9,24;10,32;0,62;0,38;0,54;2,29;32,68;2.844.296,60;5,99;0,89;0,30;405.182.035,80
VLID3;16,44;10,58;4,44;0,87;0,49;35,94;22,18;13,65;2,73;2,98;0,25;0,08;0,61;1,42;-1,05;2,82;19,60;11,04;18,86;0,56;0,43;0,81;5,40;24,70;5.975.796,23;18,80;3,69;0,02;1.345.390.005,00
WLMM3;25,51;2,60;7,91;1,28;1,05;11,50;6,34;4,28;5,34;5,94;-0,17;-0,04;0,34;2,25;-2,45;5,56;16,12;13,30;16,62;0,82;0,17;3,11;25,90;48,84;6.398,20;20,00;3,22;-1,88;1.055.737.877,20
WLMM4;31,90;2,26;10,01;1,61;1,33;11,50;6,34;4,28;6,76;5,94;-0,17;-0,04;0,43;2,84;-3,10;5,56;16,12;13,30;16,62;0,82;0,17;3,11;25,90;48,84;25.164,84;20,00;3,22;-2,38;1.055.737.877,20
