TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AGRO3;27.55;11.66;11.95;1.45;0.85;27.98;15.46;21.58;16.68;21.62;4.95;0.43;2.58;4.54;-1.33;2.04;12.09;7.08;5.06;0.59;0.41;0.33;27.22;13.38;6.609.378.40;19.06;2.31;0.04;2.828.928.882.20
ATOM3;2.03;;2.50;1.23;0.91;91.76;-3.39;84.24;-62.11;-51.38;10.74;-0.21;2.10;2.74;-1.49;7.10;49.23;36.60;-47.85;0.74;0.21;0.43;31.18;22.25;13.557.37;1.65;0.81;0.01;48.323.942.94
BLAU3;11.29;2.48;8.51;1.00;0.64;34.09;22.18;16.14;6.19;6.67;0.48;0.08;1.37;1.69;-1.32;3.82;11.78;7.53;9.18;0.64;0.36;0.47;11.91;14.06;2.278.661.06;11.26;1.33;-0.26;2.025.357.571.31
BOAS3;7.95;;15.22;1.83;1.70;56.53;19.25;32.39;25.60;18.69;-6.92;-0.50;4.93;3.34;-3.80;12.37;12.04;11.16;4.65;0.93;0.07;0.34;8.81;74.34;53.310.276.50;4.34;0.52;5.59;4.212.250.617.75
BRBI11;14.50;9.10;8.88;1.84;0.14;100.00;8.88;61.44;61.47;12.66;-48.80;-1.46;5.46;2.05;-18.28;1.07;20.74;1.53;-0.20;0.07;0.93;0.02;-16.03;27.88;3.910.827.37;7.87;1.63;0.40;1.522.437.708.00
BRIT3;4.24;2.06;12.01;1.25;0.58;45.24;18.58;12.48;8.07;11.59;3.52;0.55;1.50;10.66;-0.73;1.36;10.40;4.86;8.41;0.47;0.53;0.39;41.71;44.43;2.218.034.23;3.40;0.35;0.11;1.904.162.443.84
CAMB3;11.15;1.32;6.52;1.86;1.29;48.26;21.89;15.87;4.73;4.45;-0.28;-0.11;1.04;4.74;-2.51;2.27;28.58;19.76;34.86;0.69;0.31;1.24;13.16;34.14;363.010.12;5.98;1.71;1.58;471.367.142.00
CAMB4;6.25;0.43;3.66;1.05;0.72;48.26;21.89;15.87;2.65;4.45;-0.28;-0.11;0.58;2.66;-1.41;2.27;28.58;19.76;34.86;0.69;0.31;1.24;13.16;34.14;;5.98;1.71;0.89;471.367.142.00
CAML3;8.71;2.95;4.41;1.02;0.33;19.82;6.85;4.12;2.66;5.23;2.57;0.98;0.18;1.21;-0.74;1.99;23.03;7.50;14.28;0.33;0.67;1.82;18.83;13.77;6.617.186.57;8.57;1.97;0.01;3.048.500.000.00
CEBR3;20.93;9.07;8.64;1.43;1.02;50.78;61.36;49.19;6.93;3.47;-3.19;-0.66;4.25;2.12;-2.26;8.05;16.60;11.78;11.87;0.71;0.11;0.24;-32.89;14.18;72.491.66;14.59;2.42;-0.52;1.450.093.620.45
CEBR5;17.99;10.55;7.43;1.23;0.87;50.78;61.36;49.19;5.95;3.47;-3.19;-0.66;3.65;1.82;-1.94;8.05;16.60;11.78;11.87;0.71;0.11;0.24;-32.89;14.18;39.898.51;14.59;2.42;-0.44;1.450.093.620.45
